filename,label,components
composite_by_dominant/Mn/Mn_0009.png,Mn,O;Mg;Li;Mn
composite_by_dominant/Na/Na_0008.png,Na,Ca;Na;O;P
composite_by_dominant/S/S_0006.png,S,He;S;V
composite_by_dominant/Al/Al_0013.png,Al,C;Cr;Al;H
composite_by_dominant/C/C_0004.png,C,C;H;Li
composite_by_dominant/Sc/Sc_0005.png,Sc,Sc;Ca;Si
composite_by_dominant/Ca/Ca_0010.png,Ca,Ca;Li;He
composite_by_dominant/H/H_0004.png,H,Al;Fe;H;He
composite_by_dominant/C/C_0005.png,C,C;S;N;Mn
composite_by_dominant/Fe/Fe_0005.png,Fe,H;Fe
composite_by_dominant/He/He_0010.png,He,He;Fe;Mg;Cr
composite_by_dominant/Al/Al_0014.png,Al,O;S;Al
composite_by_dominant/He/He_0011.png,He,Mg;H;Sc;He
composite_by_dominant/N/N_0009.png,N,N;Mg;Al;Sc
composite_by_dominant/P/P_0005.png,P,P;Ti;Mg;Fe
composite_by_dominant/H/H_0005.png,H,V;H
composite_by_dominant/Ti/Ti_0005.png,Ti,Si;Ti;C
composite_by_dominant/S/S_0007.png,S,S;Al;Mn;O
composite_by_dominant/Mn/Mn_0010.png,Mn,He;H;Mn;S
composite_by_dominant/O/O_0011.png,O,N;Na;O;S
composite_by_dominant/H/H_0006.png,H,Al;H;Fe
composite_by_dominant/S/S_0008.png,S,Al;Ca;S
composite_by_dominant/He/He_0012.png,He,N;He
composite_by_dominant/He/He_0013.png,He,S;He;C;Ca
composite_by_dominant/Li/Li_0009.png,Li,Al;P;Li;Si
composite_by_dominant/Li/Li_0010.png,Li,Li;S;P
composite_by_dominant/Mn/Mn_0011.png,Mn,Mn;Mg
composite_by_dominant/C/C_0006.png,C,C;Al
composite_by_dominant/Fe/Fe_0006.png,Fe,Mn;Fe
composite_by_dominant/Mn/Mn_0012.png,Mn,Ti;Mg;Mn;C
composite_by_dominant/C/C_0007.png,C,Mg;C
composite_by_dominant/C/C_0008.png,C,C;He;Sc
composite_by_dominant/Mn/Mn_0013.png,Mn,V;Cr;Mn;Al
composite_by_dominant/H/H_0007.png,H,Al;S;Mn;H
composite_by_dominant/Fe/Fe_0007.png,Fe,Si;C;N;Fe
composite_by_dominant/H/H_0008.png,H,Sc;H
composite_by_dominant/Sc/Sc_0006.png,Sc,Sc;S;O;Fe
composite_by_dominant/Sc/Sc_0007.png,Sc,Li;P;Sc
composite_by_dominant/S/S_0009.png,S,C;S
composite_by_dominant/Al/Al_0015.png,Al,C;Al
composite_by_dominant/Ca/Ca_0011.png,Ca,Mg;Ca;Fe
composite_by_dominant/H/H_0009.png,H,Ca;H
composite_by_dominant/Cr/Cr_0010.png,Cr,Cr;Al;P;He
composite_by_dominant/Mg/Mg_0006.png,Mg,Ti;Mg
composite_by_dominant/Na/Na_0009.png,Na,H;Mg;Na;N
composite_by_dominant/V/V_0009.png,V,Mg;V
composite_by_dominant/Fe/Fe_0008.png,Fe,Fe;S;P
composite_by_dominant/Mg/Mg_0007.png,Mg,He;Mg
composite_by_dominant/Cr/Cr_0011.png,Cr,Fe;Cr
composite_by_dominant/Cr/Cr_0012.png,Cr,Cr;Fe
composite_by_dominant/O/O_0012.png,O,O;Li
composite_by_dominant/Ca/Ca_0012.png,Ca,Ca;He;Fe;O
composite_by_dominant/Al/Al_0016.png,Al,P;Na;V;Al
composite_by_dominant/Cr/Cr_0013.png,Cr,Cr;N;O
composite_by_dominant/Mn/Mn_0014.png,Mn,S;Mn
composite_by_dominant/Li/Li_0011.png,Li,Li;Fe
composite_by_dominant/C/C_0009.png,C,Fe;C;H
composite_by_dominant/He/He_0014.png,He,He;Mg;N;V
composite_by_dominant/N/N_0010.png,N,H;Al;N
composite_by_dominant/C/C_0010.png,C,Ca;Si;C;Cr
composite_by_dominant/H/H_0010.png,H,Ti;H
composite_by_dominant/C/C_0011.png,C,Cr;C
composite_by_dominant/Ti/Ti_0006.png,Ti,P;Ti;Sc
composite_by_dominant/P/P_0006.png,P,P;H;He
composite_by_dominant/Fe/Fe_0009.png,Fe,Cr;Fe;Al
composite_by_dominant/Mg/Mg_0008.png,Mg,He;C;V;Mg
composite_by_dominant/Fe/Fe_0010.png,Fe,C;Ca;Fe
composite_by_dominant/O/O_0013.png,O,Ti;O;He;C
composite_by_dominant/H/H_0011.png,H,Ti;H
composite_by_dominant/S/S_0010.png,S,S;V;Na;Mn
composite_by_dominant/Si/Si_0011.png,Si,Si;O
composite_by_dominant/H/H_0012.png,H,He;H
composite_by_dominant/Na/Na_0010.png,Na,Sc;Ca;Na
composite_by_dominant/V/V_0010.png,V,V;Na;Mg
composite_by_dominant/Li/Li_0012.png,Li,Al;Ca;Li
composite_by_dominant/Mg/Mg_0009.png,Mg,Mg;Al
composite_by_dominant/He/He_0015.png,He,C;Mn;He
composite_by_dominant/Si/Si_0012.png,Si,Ca;Si
composite_by_dominant/S/S_0011.png,S,S;Li;P
composite_by_dominant/N/N_0011.png,N,N;Si
composite_by_dominant/He/He_0016.png,He,He;Ti
composite_by_dominant/N/N_0012.png,N,N;Li;Mg
composite_by_dominant/S/S_0012.png,S,Li;O;Mg;S
composite_by_dominant/Mn/Mn_0015.png,Mn,Ca;Cr;Mn;V
composite_by_dominant/He/He_0017.png,He,He;S;Mn
composite_by_dominant/He/He_0018.png,He,C;Si;He;Fe
composite_by_dominant/Ca/Ca_0013.png,Ca,Sc;Ca;C;Al
composite_by_dominant/N/N_0013.png,N,S;H;N;Na
composite_by_dominant/S/S_0013.png,S,S;Na
composite_by_dominant/N/N_0014.png,N,O;N;Al;Ti
composite_by_dominant/Si/Si_0013.png,Si,Si;Fe;Na;Ca
composite_by_dominant/Sc/Sc_0008.png,Sc,Si;Sc;He;Li
composite_by_dominant/Mn/Mn_0016.png,Mn,Mn;Cr;P
composite_by_dominant/C/C_0012.png,C,Ti;C;Al
composite_by_dominant/N/N_0015.png,N,N;Li
composite_by_dominant/Na/Na_0011.png,Na,Na;O
composite_by_dominant/Mn/Mn_0017.png,Mn,P;Cr;Mn
composite_by_dominant/Ca/Ca_0014.png,Ca,Ca;H
composite_by_dominant/O/O_0014.png,O,O;Al;Fe;Mg
composite_by_dominant/Mn/Mn_0018.png,Mn,Si;Mn;Fe;Cr
composite_by_dominant/V/V_0011.png,V,Mg;V;Na
composite_by_dominant/Cr/Cr_0014.png,Cr,Ti;Li;S;Cr
composite_by_dominant/Cr/Cr_0015.png,Cr,H;Na;Cr
composite_by_dominant/S/S_0014.png,S,Ca;Si;S;Sc
composite_by_dominant/Sc/Sc_0009.png,Sc,Sc;Ca;Al
composite_by_dominant/V/V_0012.png,V,Mg;Li;Cr;V
composite_by_dominant/V/V_0013.png,V,H;Ca;V
composite_by_dominant/Si/Si_0014.png,Si,Si;Mg
composite_by_dominant/Al/Al_0017.png,Al,N;V;Al
composite_by_dominant/S/S_0015.png,S,H;C;S
composite_by_dominant/C/C_0013.png,C,Ca;C;Sc
composite_by_dominant/Al/Al_0018.png,Al,He;Al;Mg
composite_by_dominant/Al/Al_0019.png,Al,Al;N
composite_by_dominant/V/V_0014.png,V,He;V
composite_by_dominant/Ti/Ti_0007.png,Ti,Ti;P;Fe;Cr
composite_by_dominant/S/S_0016.png,S,S;C
composite_by_dominant/Ca/Ca_0015.png,Ca,Ca;Ti;Mn;Na
composite_by_dominant/C/C_0014.png,C,S;C;P;Si
composite_by_dominant/He/He_0019.png,He,S;He;Mg
composite_by_dominant/Li/Li_0013.png,Li,Li;Ti;N;H
composite_by_dominant/Al/Al_0020.png,Al,Al;Mg;Cr
composite_by_dominant/Al/Al_0021.png,Al,Al;Cr;Mn
composite_by_dominant/O/O_0015.png,O,Ca;C;O
composite_by_dominant/N/N_0016.png,N,N;V
composite_by_dominant/V/V_0015.png,V,V;Li
composite_by_dominant/Na/Na_0012.png,Na,Na;Mn;Fe
composite_by_dominant/S/S_0017.png,S,Sc;Mg;Fe;S
composite_by_dominant/H/H_0013.png,H,H;P
composite_by_dominant/He/He_0020.png,He,Ti;He;Fe;Mg
composite_by_dominant/Cr/Cr_0016.png,Cr,Mn;Cr
composite_by_dominant/Li/Li_0014.png,Li,S;V;Li;Ca
composite_by_dominant/V/V_0016.png,V,Mg;V
composite_by_dominant/Li/Li_0015.png,Li,O;Li
composite_by_dominant/C/C_0015.png,C,Mn;C;H
composite_by_dominant/Cr/Cr_0017.png,Cr,Cr;Ti
composite_by_dominant/C/C_0016.png,C,H;C
composite_by_dominant/Ti/Ti_0008.png,Ti,Si;Ti;S;Na
composite_by_dominant/Li/Li_0016.png,Li,V;Li;S
composite_by_dominant/H/H_0014.png,H,Mg;H;Al
composite_by_dominant/O/O_0016.png,O,C;Ti;O;S
composite_by_dominant/Fe/Fe_0011.png,Fe,S;Na;Fe;Si
composite_by_dominant/C/C_0017.png,C,Fe;V;C;N
composite_by_dominant/S/S_0018.png,S,He;Mg;Ti;S
composite_by_dominant/S/S_0019.png,S,S;Al
composite_by_dominant/Fe/Fe_0012.png,Fe,H;Fe
composite_by_dominant/Ca/Ca_0016.png,Ca,O;Ti;Ca;N
composite_by_dominant/Ti/Ti_0009.png,Ti,Ti;Sc;C
composite_by_dominant/Mn/Mn_0019.png,Mn,P;Sc;Mn;O
composite_by_dominant/N/N_0017.png,N,N;Li;Cr;P
composite_by_dominant/Sc/Sc_0010.png,Sc,V;Na;Sc;S
composite_by_dominant/C/C_0018.png,C,He;Cr;S;C
composite_by_dominant/Ti/Ti_0010.png,Ti,Ti;S
composite_by_dominant/Al/Al_0022.png,Al,C;Fe;Al
composite_by_dominant/O/O_0017.png,O,Sc;O;H;N
composite_by_dominant/N/N_0018.png,N,Mg;N;Al;H
composite_by_dominant/N/N_0019.png,N,N;Cr
composite_by_dominant/Al/Al_0023.png,Al,P;Al;N;S
composite_by_dominant/Ti/Ti_0011.png,Ti,Ti;V;Si
composite_by_dominant/Sc/Sc_0011.png,Sc,He;Sc;Ca
composite_by_dominant/O/O_0018.png,O,O;V
composite_by_dominant/Si/Si_0015.png,Si,Ti;Si;Fe;Cr
composite_by_dominant/Ca/Ca_0017.png,Ca,S;Ca;Ti
composite_by_dominant/He/He_0021.png,He,He;Mg
composite_by_dominant/O/O_0019.png,O,Al;N;O
composite_by_dominant/O/O_0020.png,O,O;Mn;H;Ti
composite_by_dominant/Fe/Fe_0013.png,Fe,N;O;Fe
composite_by_dominant/Mg/Mg_0010.png,Mg,Ca;Ti;Mg
composite_by_dominant/Si/Si_0016.png,Si,Si;Cr
composite_by_dominant/Ti/Ti_0012.png,Ti,Al;Na;Ti;Sc
composite_by_dominant/H/H_0015.png,H,Al;H
composite_by_dominant/Mg/Mg_0011.png,Mg,Mg;O
composite_by_dominant/V/V_0017.png,V,Si;V;Na;Mn
composite_by_dominant/Li/Li_0017.png,Li,Li;Al;Ti;H
composite_by_dominant/S/S_0020.png,S,P;O;S
composite_by_dominant/Ti/Ti_0013.png,Ti,Ti;Mn
composite_by_dominant/Ti/Ti_0014.png,Ti,S;Mg;Ti
composite_by_dominant/C/C_0019.png,C,C;Mg
composite_by_dominant/Mg/Mg_0012.png,Mg,O;He;Mg
composite_by_dominant/Si/Si_0017.png,Si,Na;Al;Si
composite_by_dominant/Mn/Mn_0020.png,Mn,Mg;He;S;Mn
composite_by_dominant/Al/Al_0024.png,Al,O;Al;N
composite_by_dominant/S/S_0021.png,S,Ca;S
composite_by_dominant/C/C_0020.png,C,O;Na;N;C
composite_by_dominant/Cr/Cr_0018.png,Cr,Cr;P
composite_by_dominant/Na/Na_0013.png,Na,P;Sc;Na
composite_by_dominant/S/S_0022.png,S,Li;S
composite_by_dominant/H/H_0016.png,H,H;Mn
composite_by_dominant/Mg/Mg_0013.png,Mg,Si;Mg
composite_by_dominant/Al/Al_0025.png,Al,Al;Sc
composite_by_dominant/Al/Al_0026.png,Al,Cr;Al;N
composite_by_dominant/He/He_0022.png,He,He;V
composite_by_dominant/H/H_0017.png,H,H;Li;Na;Cr
composite_by_dominant/Na/Na_0014.png,Na,Al;Na;Si;Ca
composite_by_dominant/N/N_0020.png,N,H;N
composite_by_dominant/Ca/Ca_0018.png,Ca,O;C;Ca
composite_by_dominant/Na/Na_0015.png,Na,S;Na;Fe;O
composite_by_dominant/S/S_0023.png,S,S;Fe;Mg;Al
composite_by_dominant/S/S_0024.png,S,Mg;S;P
composite_by_dominant/Ca/Ca_0019.png,Ca,H;Mg;Li;Ca
composite_by_dominant/P/P_0007.png,P,He;P;S
composite_by_dominant/O/O_0021.png,O,Mg;O
composite_by_dominant/S/S_0025.png,S,S;O;P
composite_by_dominant/He/He_0023.png,He,He;N
composite_by_dominant/Na/Na_0016.png,Na,Na;C
composite_by_dominant/Mn/Mn_0021.png,Mn,Mn;Ca
composite_by_dominant/V/V_0018.png,V,Mn;V;Al;Li
composite_by_dominant/Cr/Cr_0019.png,Cr,He;Li;Mn;Cr
composite_by_dominant/O/O_0022.png,O,Cr;Ti;O
composite_by_dominant/Cr/Cr_0020.png,Cr,Mn;S;Cr;H
composite_by_dominant/C/C_0021.png,C,N;P;C;Fe
composite_by_dominant/He/He_0024.png,He,Ca;Al;He
composite_by_dominant/V/V_0019.png,V,He;H;V;Fe
composite_by_dominant/Si/Si_0018.png,Si,Ti;Fe;Si
composite_by_dominant/Mn/Mn_0022.png,Mn,Si;Mn
composite_by_dominant/Al/Al_0027.png,Al,Sc;Al;V;Na
composite_by_dominant/S/S_0026.png,S,Sc;S;V;P
composite_by_dominant/Mg/Mg_0014.png,Mg,Li;Ti;Mg
composite_by_dominant/H/H_0018.png,H,S;H
composite_by_dominant/Ca/Ca_0020.png,Ca,Cr;Ca;Ti
composite_by_dominant/P/P_0008.png,P,H;P;Si;S
composite_by_dominant/He/He_0025.png,He,Li;S;He
composite_by_dominant/Li/Li_0018.png,Li,He;Fe;Li
composite_by_dominant/Mg/Mg_0015.png,Mg,P;Na;Mg;H
composite_by_dominant/Sc/Sc_0012.png,Sc,He;Sc
composite_by_dominant/Sc/Sc_0013.png,Sc,P;Sc;S;Fe
composite_by_dominant/V/V_0020.png,V,V;P
composite_by_dominant/Si/Si_0019.png,Si,O;Si;Cr
composite_by_dominant/S/S_0027.png,S,S;Li
composite_by_dominant/Na/Na_0017.png,Na,Na;C;H;Mn
composite_by_dominant/He/He_0026.png,He,He;Ca;V
composite_by_dominant/Sc/Sc_0014.png,Sc,N;Li;Sc
composite_by_dominant/Ca/Ca_0021.png,Ca,Sc;P;Ca
composite_by_dominant/H/H_0019.png,H,H;P
composite_by_dominant/Sc/Sc_0015.png,Sc,Fe;Sc;He;V
composite_by_dominant/Cr/Cr_0021.png,Cr,H;Cr;P
composite_by_dominant/Ca/Ca_0022.png,Ca,Ca;Mg;V;Na
composite_by_dominant/N/N_0021.png,N,Ti;N;Fe;Na
composite_by_dominant/Li/Li_0019.png,Li,Ca;Li
composite_by_dominant/Li/Li_0020.png,Li,Mg;Sc;H;Li
composite_by_dominant/V/V_0021.png,V,Cr;V;Mn
composite_by_dominant/Sc/Sc_0016.png,Sc,Sc;Al;Si
composite_by_dominant/Na/Na_0018.png,Na,Sc;Mg;Na
composite_by_dominant/He/He_0027.png,He,Mg;Na;He
composite_by_dominant/C/C_0022.png,C,C;Na;Al
composite_by_dominant/S/S_0028.png,S,Ti;Ca;S;Fe
composite_by_dominant/Mg/Mg_0016.png,Mg,Mg;Si;S
composite_by_dominant/Na/Na_0019.png,Na,Na;Mn;C
composite_by_dominant/Mn/Mn_0023.png,Mn,Mn;Sc
composite_by_dominant/Al/Al_0028.png,Al,Mn;He;Al
composite_by_dominant/Cr/Cr_0022.png,Cr,Ti;Li;Cr
composite_by_dominant/Mg/Mg_0017.png,Mg,Fe;H;Mg
composite_by_dominant/Cr/Cr_0023.png,Cr,V;Li;Cr
composite_by_dominant/Sc/Sc_0017.png,Sc,Sc;He
composite_by_dominant/Mn/Mn_0024.png,Mn,Sc;Al;Mn;S
composite_by_dominant/Si/Si_0020.png,Si,Li;Si
composite_by_dominant/Mg/Mg_0018.png,Mg,S;O;Mg
composite_by_dominant/Si/Si_0021.png,Si,Mn;O;N;Si
composite_by_dominant/Mg/Mg_0019.png,Mg,Si;P;Mg;C
composite_by_dominant/Na/Na_0020.png,Na,He;Mn;Na;P
composite_by_dominant/Li/Li_0021.png,Li,Mn;Na;Li;Ca
composite_by_dominant/Fe/Fe_0014.png,Fe,N;Fe
composite_by_dominant/Ca/Ca_0023.png,Ca,Mg;Ca;Ti
composite_by_dominant/Al/Al_0029.png,Al,S;Al
composite_by_dominant/Na/Na_0021.png,Na,Na;Cr
composite_by_dominant/P/P_0009.png,P,N;P
composite_by_dominant/Ti/Ti_0015.png,Ti,He;Ti;H
composite_by_dominant/Ti/Ti_0016.png,Ti,S;Ti
composite_by_dominant/Ti/Ti_0017.png,Ti,Al;Ti
composite_by_dominant/Cr/Cr_0024.png,Cr,Cr;N
composite_by_dominant/Li/Li_0022.png,Li,C;Li;Mg
composite_by_dominant/Al/Al_0030.png,Al,Fe;Al;V;N
composite_by_dominant/Mg/Mg_0020.png,Mg,Mg;P
composite_by_dominant/O/O_0023.png,O,Na;He;H;O
composite_by_dominant/Mn/Mn_0025.png,Mn,Mn;V
composite_by_dominant/Cr/Cr_0025.png,Cr,Mg;Cr
composite_by_dominant/Li/Li_0023.png,Li,Li;N;Na
composite_by_dominant/N/N_0022.png,N,Fe;N
composite_by_dominant/S/S_0029.png,S,Al;Ca;Mg;S
composite_by_dominant/Cr/Cr_0026.png,Cr,Cr;Ca
composite_by_dominant/O/O_0024.png,O,Cr;O
composite_by_dominant/Al/Al_0031.png,Al,Al;C;Si
composite_by_dominant/C/C_0023.png,C,Li;P;N;C
composite_by_dominant/Li/Li_0024.png,Li,Fe;Li
composite_by_dominant/He/He_0028.png,He,H;C;He;O
composite_by_dominant/Li/Li_0025.png,Li,Li;H;Si
composite_by_dominant/V/V_0022.png,V,O;V;Na
composite_by_dominant/C/C_0024.png,C,C;Ti;Na
composite_by_dominant/Mn/Mn_0026.png,Mn,Li;Al;Mn
composite_by_dominant/Sc/Sc_0018.png,Sc,Sc;Si;Mn;Ca
composite_by_dominant/V/V_0023.png,V,V;S
composite_by_dominant/Li/Li_0026.png,Li,H;He;Li;Si
composite_by_dominant/Ca/Ca_0024.png,Ca,Ca;Na
composite_by_dominant/Sc/Sc_0019.png,Sc,V;Sc;Mg;Cr
